nb_publications,annee,periode
12,1936,Before
16,1937,Before
11,1938,Before
18,1939,Before
10,1940,Before
13,1941,Before
13,1942,Before
8,1943,Before
5,1944,Before
9,1945,Before
31,1946,Before
10,1947,Before
41,1948,Before
52,1949,Before
29,1950,Before
45,1951,Before
113,1952,Before
172,1953,Before
218,1954,Before
205,1955,Before
339,1956,Before
337,1957,Before
453,1958,Before
713,1959,Before
616,1960,Before
893,1961,Before
1167,1962,Before
1029,1963,Before
1093,1964,Before
1281,1965,Before
1484,1966,Before
1737,1967,Before
2168,1968,Before
2083,1969,Before
2214,1970,Before
3100,1971,Before
3733,1972,Before
4360,1973,Before
4974,1974,Before
5211,1975,Before
5661,1976,Before
5914,1977,Before
6738,1978,Before
6887,1979,Before
7733,1980,Before
8601,1981,Before
9873,1982,Before
10792,1983,Before
12261,1984,Before
13842,1985,Before
16422,1986,Before
17615,1987,Before
21788,1988,Before
24340,1989,Before
28284,1990,Before
31186,1991,Before
34883,1992,Before
40610,1993,Before
45212,1994,Before
47587,1995,Before
52480,1996,Before
56886,1997,Before
64227,1998,Before
70807,1999,Before
80736,2000,Before
86472,2001,Before
97405,2002,Before
116194,2003,Before
135112,2004,Before
156995,2005,Before
175663,2006,Before
189465,2007,Before
201989,2008,Before
219707,2009,Before
227989,2010,Before
249356,2011,Before
263130,2012,Before
280099,2013,Before
290797,2014,Before
302394,2015,Before
314482,2016,Before
337009,2017,3 yrs Before
373939,2018,3 yrs Before
417869,2019,3 yrs Before
434640,2020,During
461077,2021,During
480655,2022,During
516634,2023,After
477379,2024,After
11111,2025,After